Code,Title,Description
economic,Economic,The criterion relies on an economic or financial aspect of the tenderer
technical,Technical,The criterion relies on a technical ability of the tenderer
suitability,Suitability,"The criterion relies on administrative aspects of the tenderer (e.g. presence in register, membership in an organization)"
other,Other,The criterion rely on other aspects of the tenderer
